log_Teff,LogL_lsun,Age_gyr,Step,Log_g,Mass_msun,feh,Mass_input,Metallicity_input,Z_used,Age_input
3.540577248647506,-1.9375731928106714,3.5,292.4615535956463,4.969788289098051,0.3,0.024832356317687352,0.3,0.0,0.022917651,3.5
3.540734127599538,-1.934945465609224,3.5,292.47425909887613,4.969037464547373,0.301,0.024827672924445904,0.301,0.0,0.022917651,3.5
3.540890892315046,-1.9323153472532244,3.5,292.4882490936885,4.968283791898336,0.302,0.02482293406136899,0.302,0.0,0.022917651,3.5
3.541047540012948,-1.9296827795301907,3.5,292.50355485093655,4.967527201814191,0.30299999999999994,0.024818138378047548,0.303,0.0,0.022917651,3.5
3.5412040678211545,-1.9270477023226105,3.5,292.52020866482667,4.966767622689116,0.30400000000000005,0.02481328447987975,0.304,0.0,0.022917651,3.5
3.541360472772806,-1.9244100535293684,3.5,292.53824389512613,4.966004980554625,0.305,0.024808370926248272,0.305,0.0,0.022917651,3.5
3.5415165694171264,-1.9217780051382511,3.5,292.55789749315306,4.965246705919709,0.30600000000000005,0.02480311084283191,0.306,0.0,0.022917651,3.5
3.5416722406546945,-1.919157539531703,3.5,292.579037223786,4.964498312990131,0.307,0.024797298141409903,0.307,0.0,0.022917651,3.5
3.541827799249951,-1.9165347655990028,3.5,292.6012043726297,4.963747161160335,0.308,0.024791412811676197,0.308,0.0,0.022917651,3.5
3.541983242478073,-1.9139096275015814,3.5,292.62442379300205,4.962993183692338,0.309,0.02478545309674694,0.309,0.0,0.022917651,3.5
3.542138567525634,-1.9112820675852444,3.5,292.6487211463413,4.962236311678121,0.30999999999999994,0.02477941718261208,0.31,0.0,0.022917651,3.5
3.5422937714869795,-1.9086520263057722,3.5,292.67412293532146,4.961476473950724,0.311,0.02477330319579453,0.311,0.0,0.022917651,3.5
3.5424488513604153,-1.9060194421508314,3.5,292.7006565386092,4.960713596990907,0.312,0.024767109200893214,0.312,0.0,0.022917651,3.5
3.5426038040442043,-1.9033842515579815,3.5,292.72835024735735,4.9599476048291455,0.313,0.024760833198003266,0.313,0.0,0.022917651,3.5
3.542758626332364,-1.9007463888285507,3.5,292.7572333035395,4.959178418942709,0.314,0.024754473120006205,0.314,0.0,0.022917651,3.5
3.5429133149102543,-1.8981057860371293,3.5,292.7873359402328,4.958405958147474,0.31499999999999995,0.02474802682972232,0.315,0.0,0.022917651,3.5
3.5430678663499284,-1.8954623729364257,3.5,292.8186894239666,4.957630138484221,0.316,0.024741492116917077,0.316,0.0,0.022917651,3.5
3.543222277105253,-1.8928160768571995,3.5,292.8513260992601,4.956850873099028,0.317,0.024734866695152638,0.317,0.0,0.022917651,3.5
3.5433765435067714,-1.8901668226029773,3.5,292.8852794354855,4.956068072117431,0.318,0.02472814819847527,0.318,0.0,0.022917651,3.5
3.5435306617562925,-1.8875145323392262,3.5,292.9205840761947,4.955281642511975,0.319,0.02472133417792828,0.319,0.0,0.022917651,3.5
3.5436846279211998,-1.8848591254766418,3.5,292.9572758910668,4.9544914879627155,0.32,0.024714422097879923,0.32,0.0,0.022917651,3.5
3.5438384379284456,-1.8822005185481896,3.5,292.9953920306368,4.953697508710257,0.32099999999999995,0.024707409332154606,0.321,0.0,0.022917651,3.5
3.54399208755823,-1.8795386250794965,3.5,293.03497098398276,4.9528996014008495,0.322,0.024700293159954968,0.322,0.0,0.022917651,3.5
3.544145573358867,-1.8768780828022322,3.5,293.07658053959534,4.952102389850545,0.323,0.02469293104115171,0.323,0.0,0.022917651,3.5
